id,title,state,created,closed,time_to_close,url
1167235879,b'does nnapi (armv7a or armv8a) support model contain lstm ?',open,2022-03-12T09:30:33Z,,,https://github.com/microsoft/onnxruntime/issues/10854
1174978635,b'can openmp used for android device of armv7a or armv8a?',closed,2022-03-21T07:18:32Z,2022-08-11T22:05:08Z,143,https://github.com/microsoft/onnxruntime/issues/10961
1179072229,"b'[Lot of people have this issue]  The model can not ""really"" do inference; Loading issue is solved.'",closed,2022-03-24T06:34:06Z,2022-04-20T03:37:30Z,26,https://github.com/microsoft/onnxruntime/issues/10990
1181824236,"b""MAUI: Unable to use ONNX: Reference to type 'ReadOnlySpan<>' claims it is defined in 'mscorlib', but it could not be found""",closed,2022-03-26T15:00:03Z,2022-07-27T21:38:59Z,123,https://github.com/microsoft/onnxruntime/issues/11013
1188264435,"b'Dynamic shape is not supported for now, for input:input_1:0'",closed,2022-03-31T15:28:09Z,2022-04-06T02:40:18Z,5,https://github.com/microsoft/onnxruntime/issues/11073
1191181685,b'ONNX Runtime Mobile Training (Android/iOS)',open,2022-04-04T03:01:14Z,,,https://github.com/microsoft/onnxruntime/issues/11098
1203120686,b'linker error douring build for Xamarin.ios on Apple M1 based host',closed,2022-04-13T10:41:06Z,2022-07-27T21:38:20Z,105,https://github.com/microsoft/onnxruntime/issues/11204
1226820744,"b'crashed in construction of Ort::Env, xcode13, iPhoneX'",open,2022-04-28T09:39:31Z,,,https://github.com/microsoft/onnxruntime/issues/11446
1234426618,b'Load ORT Model in React-Native Expo',closed,2022-05-12T20:01:43Z,2022-05-27T15:12:57Z,14,https://github.com/microsoft/onnxruntime/issues/11507
1273086905,b'Duplicate define operater<<',closed,2022-06-16T05:55:02Z,2022-08-22T23:54:12Z,67,https://github.com/microsoft/onnxruntime/issues/11869
1325581586,b'Linker Problem for MAUI on IOS',open,2022-08-02T09:37:12Z,,,https://github.com/microsoft/onnxruntime/issues/12420
1333218705,b'onnxruntime-android - ld: error: cannot find -lonnxruntime when building the native C++ project',closed,2022-08-09T12:55:44Z,2022-08-22T23:56:46Z,13,https://github.com/microsoft/onnxruntime/issues/12521
1351729525,b'React Native .ort Operator Issue',open,2022-08-26T04:28:07Z,,,https://github.com/microsoft/onnxruntime/issues/12743
1356362229,b'NNAPIs crashes using Xiaomi 9t Pro (Snapdragon 855)',open,2022-08-30T22:02:42Z,,,https://github.com/microsoft/onnxruntime/issues/12793
1366343584,b'[Mobile] There is native memory leak when running ortSession.run() for Android ',closed,2022-09-08T13:32:56Z,2022-09-09T10:41:06Z,0,https://github.com/microsoft/onnxruntime/issues/12895
647294679,b'DllNotFound exception on android',open,2020-06-29T11:38:47Z,,,https://github.com/microsoft/onnxruntime/issues/4363
721926856,"b'ORT Mobile new feature missing in v1.5.1 ""convert_onnx_model_to_ort.py""'",closed,2020-10-15T02:46:24Z,2020-10-17T00:41:19Z,1,https://github.com/microsoft/onnxruntime/issues/5495
723604461,b'Convert to mobile Error: Onnxruntime_test_all (Failed) - Tests Fail',closed,2020-10-17T00:52:02Z,2020-10-22T02:03:28Z,5,https://github.com/microsoft/onnxruntime/issues/5522
739666848,b'Quantization for LSTM',closed,2020-11-10T07:35:56Z,2020-11-24T19:13:58Z,14,https://github.com/microsoft/onnxruntime/issues/5747
741600829,"b'Building with ""--minimal_build"" fails'",closed,2020-11-12T13:28:12Z,2021-05-01T00:31:49Z,169,https://github.com/microsoft/onnxruntime/issues/5786
808584227,b'Run ML model on GPU of an Android run system',open,2021-02-15T14:28:30Z,,,https://github.com/microsoft/onnxruntime/issues/6694
838322905,b'Failed to build MinSizeRel on Linux',closed,2021-03-23T03:51:39Z,2021-03-25T04:03:46Z,2,https://github.com/microsoft/onnxruntime/issues/7100
850655746,b'Deploy in Android App',closed,2021-04-05T20:48:14Z,2021-05-10T22:01:14Z,35,https://github.com/microsoft/onnxruntime/issues/7242
871129076,b'Publish optimized aar for Android Java Arm64 Default CPU to central repository.',open,2021-04-29T15:15:05Z,,,https://github.com/microsoft/onnxruntime/issues/7501
876044524,b'Failed to find kernel for Transpose(1)',closed,2021-05-05T05:03:22Z,2021-05-05T22:27:29Z,0,https://github.com/microsoft/onnxruntime/issues/7575
893884214,b'android app crash when use nnapi',open,2021-05-18T02:25:32Z,,,https://github.com/microsoft/onnxruntime/issues/7744
899779716,"b""ONNX to ORT: Error converting model.onnx: __init__() got an unexpected keyword argument 'disabled_optimizers""",closed,2021-05-24T15:44:22Z,2021-05-28T09:12:41Z,3,https://github.com/microsoft/onnxruntime/issues/7809
903429895,b'NNAPI execution backend slower than the CPU execution backend',open,2021-05-27T08:57:18Z,,,https://github.com/microsoft/onnxruntime/issues/7859
910468309,"b""Can't run MATLAB exported ONNX model in Android""",open,2021-06-03T12:58:53Z,,,https://github.com/microsoft/onnxruntime/issues/7929
933332932,b'Submit app to app store failed',closed,2021-06-30T05:56:08Z,2021-07-28T02:04:56Z,27,https://github.com/microsoft/onnxruntime/issues/8237
934328559,b'Crashed when running iOS app',closed,2021-07-01T03:25:10Z,2021-07-02T05:55:44Z,1,https://github.com/microsoft/onnxruntime/issues/8266
939573689,b'Prevent data copy in CreateSessionFromArray ',open,2021-07-08T07:47:10Z,,,https://github.com/microsoft/onnxruntime/issues/8328
975780582,b'Missing mandatory parameter',closed,2021-08-20T17:07:01Z,2021-08-31T19:02:46Z,11,https://github.com/microsoft/onnxruntime/issues/8795
975864410,"b'""Failed to find kernel error"" after building custom mobile ONNX iOS framework'",open,2021-08-20T19:25:35Z,,,https://github.com/microsoft/onnxruntime/issues/8797
992094116,"b'Can\'t get the .whl file when using ""--use_nnapi""'",closed,2021-09-09T11:08:38Z,2021-09-10T09:09:41Z,0,https://github.com/microsoft/onnxruntime/issues/9012
994650481,b'NNAPI on Android works great with Samsung Galaxy S9 but not with Redmi Note 9',open,2021-09-13T09:15:45Z,,,https://github.com/microsoft/onnxruntime/issues/9039
998755861,b'Op with name (Atan_994) and type (Atan) kernel not found in CPUExecutionProvider',closed,2021-09-16T23:13:34Z,2021-10-01T17:18:13Z,14,https://github.com/microsoft/onnxruntime/issues/9090
999251908,b'Quantization optimization for mobile',closed,2021-09-17T11:32:56Z,2021-09-21T07:44:44Z,3,https://github.com/microsoft/onnxruntime/issues/9099
1000893209,b'CMake error: could not find git for clone of pybind11',closed,2021-09-20T12:08:04Z,2021-10-15T19:17:35Z,25,https://github.com/microsoft/onnxruntime/issues/9124
1008058894,b'[ONNXRuntimeError] Failed to createSession in Android.',closed,2021-09-27T11:58:29Z,2021-10-08T00:50:13Z,10,https://github.com/microsoft/onnxruntime/issues/9195
1008418076,b'[urgent] Cross build failed for IOS with reduced ops',closed,2021-09-27T17:40:41Z,2021-11-30T00:10:03Z,63,https://github.com/microsoft/onnxruntime/issues/9200
1013727847,b'Unable to run android demo with custom model',closed,2021-10-01T20:17:00Z,2022-04-19T07:58:42Z,199,https://github.com/microsoft/onnxruntime/issues/9248
1017364410,b'Inference run much slower with nnapi on android device',closed,2021-10-06T03:40:45Z,2021-10-11T19:23:40Z,5,https://github.com/microsoft/onnxruntime/issues/9285
1024977930,b'Execution failure while executing depthwise convolution node with ArmNN Execution Provider',open,2021-10-13T08:59:07Z,,,https://github.com/microsoft/onnxruntime/issues/9345
1025227001,b'Execution failure while executing GNN Model',open,2021-10-13T13:05:52Z,,,https://github.com/microsoft/onnxruntime/issues/9349
1032453148,b'Failed to load ort model on android. Any Idea ?',closed,2021-10-21T12:47:03Z,2022-08-11T22:03:43Z,294,https://github.com/microsoft/onnxruntime/issues/9475
1037115605,"b'How to solve this problem? ""Failed to find kernel def hash... in kernel registries for ...""'",open,2021-10-27T08:18:15Z,,,https://github.com/microsoft/onnxruntime/issues/9569
1053032598,b'OrtException creating session on Android',closed,2021-11-14T20:25:00Z,2021-11-15T21:43:57Z,1,https://github.com/microsoft/onnxruntime/issues/9759
1081325117,"b""System.MissingMethodException: Method not found: System.Memory'1<!0> Microsoft.ML.OnnxRuntime.Tensors.DenseTensor'1.get_Buffer() on iOS""",open,2021-12-15T17:57:20Z,,,https://github.com/microsoft/onnxruntime/issues/10048
1087340869,"b""AssignNodesToEpsFromHashesImpl Failed to find kernel def hash (14280390279553192696) in kernel registries for Einsum(12) node with name 'Einsum_382'.""",closed,2021-12-23T03:24:26Z,2022-08-11T22:03:28Z,231,https://github.com/microsoft/onnxruntime/issues/10117
1119420919,b'Details for trying OnnxRuntime Inferencing while trying for Android mobile device',closed,2022-01-31T13:20:01Z,2022-02-07T11:20:18Z,6,https://github.com/microsoft/onnxruntime/issues/10439
